feature,injury_index,t_stat,p_value
injury_rate,2,59.194309307758125,0.0
injury_rate,5,-51.951852602822164,0.0
avg_injury_duration,2,-44.863524232412,0.0
avg_injury_duration,7,-39.819587289316,0.0
avg_injury_duration,10,58.513467582963735,0.0
repeated_injury_rate,5,-81.49312619329673,0.0
repeated_injury_rate,7,123.99473585059074,0.0
missed_days,10,35.869369622672885,9.31144683506783e-182
missed_days,5,-25.092483100217535,1.4267737364686453e-131
missed_days,7,-24.669762536967,2.134701582206873e-131
repeated_injury_rate,10,-24.204507513178196,5.398349760505442e-110
injury_rate,7,19.91529840297991,4.415045885680559e-86
avg_injury_duration,5,-18.266428491879967,1.7486792370668105e-72
injury_rate,10,-9.55295751239056,6.352336722969344e-21
repeated_injury_rate,2,8.645871485057308,1.2919929799875306e-17
missed_days,2,2.006648075467628,0.04494275092317782
